Ticker,NPM_Y,GPM_X1,OPM_X2,EBITDA_M_X3,ROA_X5,ROE_X6,CurrRatio_X7,QuickRatio_X8,CashPS_X10,LogOpCashFlow_X11,FCF_PS_X12,DER_X13,PER_X16,PBV_X17,PSR_X18,FirmSize_X19,RevGrowth_X20
ADRO,0.26556,0.35362,0.3103,0.3813,0.03611,0.06791,4.087,3.73,0.0570866248538193,20.523841235342285,-0.0139118534986805,14.189,9.331531,34.896095887499996,76.3275764,31.764411187410985,-0.01
WIIM,0.11257,0.38595,0.18957001,0.16889,0.101210006,0.19354,2.299,0.476,184.9493824123458,26.230356210261792,35.633261820066906,16.606,9.546408,1.7441081,1.0747823,28.909476294663847,0.329
MSTI,0.10232,0.18656999,0.12229,0.13805,0.13058,0.26108998,3.8,1.943,197.826473994751,27.235051282091103,149.54602889564947,4.754,7.904206,1.9975435,0.8142408,29.067727650793582,-0.257
JPFA,0.05786,0.20377001,0.10704,0.11093,0.090059996,0.20716,1.222,0.294,197.6756818590344,29.313695881468565,149.54602889564947,62.876,9.301839,1.8253715,0.53875434,31.066487145698048,0.146
JKON,0.03198,0.13529,0.03765,0.047069997,0.010570001,0.03817,2.222,1.504,18.24914274470522,25.721725823243407,4.764854910873561,4.559,10.614526,0.3998169,0.33965468,27.8456868340338,-0.095
OMED,0.18327999,0.33748,0.18476999,0.20736,0.07853,0.14598,6.9083749999999995,4.698624999999999,47.67972805922832,26.57816679081825,5.428390996737423,8.15,14.740741,2.0582092,2.7031727,29.31419539631025,0.122
PANS,0.27096,0.8970836937500001,0.46311375624999995,0.0,0.0387,0.06473,2.234,2.227,533.7088592172603,25.45488284120998,0.0,1.42,11.26408,0.71856624,3.0507863,27.71580889966473,-0.001
HEAL,0.06073,0.31069002,0.14632,0.24654,0.053779997,0.08409,1.624,1.526,62.268393238817,27.672651428280865,-55.538959484834976,46.543,46.276596,3.5789118,2.8734288,30.62937818024416,0.129
PTBA,0.075219996,0.14867,0.07408,0.09395,0.049850002,0.15961,1.025,0.657,387.08492876746766,29.214234777108604,127.7612968000282,19.582,8.943032,1.4153785,0.67327154,31.00677988080177,-0.012
TINS,0.09559,0.24139,0.17884001,0.21738,0.052529998,0.11897001,1.778,0.833,181.14308311005797,26.38523977550256,-11.991804322150942,33.641,25.199389,2.9049437,2.4018857,30.72749542923169,-0.215
AGII,0.02826,0.42757,0.11501,0.25097,0.030350002,0.023239998,2.843,1.862,119.2610158543823,26.70111814106655,-43.05946813275681,97.005,62.52233,1.4393898,1.7932671,29.311225917810464,0.021
PBSA,0.15842,0.20447001,0.16719,0.17989999,0.13584,0.31697,2.27,1.719,129.03521757866667,26.440495434605083,80.57716189866666,1.461,19.384855,5.8640018,3.0687294,29.135098530454155,-0.192
ADMF,0.22042999,0.8970836937500001,0.30595,0.0,0.03746,0.107489996,6.655,4.698624999999999,533.7088592172603,28.169075274386103,0.0,134.96012499999998,6.481879,0.67891914,1.7565848,29.914274478067583,0.013
PLIN,0.39859498125,0.65832,0.45676997,0.53209996,0.03185,0.088719994,1.752,1.648,232.92681106045245,27.33672580577898,145.61590800838948,4.676,8.896923,0.7779778,6.273991,29.81423032017141,0.001
VKTR,-0.00169,0.16604,0.0069700005,0.07205,0.00061,0.00179,1.58,0.663,3.3254400702171427,25.10246346255755,-0.5216171271314286,18.59,115.90186012499998,28.21811,27.680573,31.02385021573733,0.279
ENAK,-0.02671,0.66116,-0.05488,0.056700002,0.0043,-0.14727001,0.197,0.043,6.303061155503929,25.15550963391723,76.47710446294742,134.96012499999998,31.48148,4.517272,0.75801486,27.7308664559951,-0.052
UNVR,0.10455,0.47616002,0.17636,0.1649,0.16562749999999998,0.37747999925,0.5,0.258,23.164149706744777,29.0973064108872,91.94074394208783,47.547,21.150238,22.985641,2.1917503,31.980582685709955,0.124
JTPE,0.12045,0.23577999,0.20216998,0.18301001,0.11203,0.23466998,1.58,0.725,59.40859130917025,27.176830555901045,65.36993746397064,1.156,14.260475,3.2392144,1.7183568,28.984639414154543,0.5878749999999999
TOTL,0.1041,0.19823,0.06937,0.10536,0.06216,0.32549,1.25,1.172,459.34036337360703,27.113418391460502,147.39777674134896,0.403,9.056672,2.8016722,0.94266444,28.86768367318704,0.418
CPIN,0.06862,0.17561,0.13108,0.12603,0.1042,0.15427,2.833,0.933,280.7644729513355,29.464049680173492,149.54602889564947,22.875,15.584962,2.2833598,1.064995,31.91883486285052,0.047
BHIT,0.01179,0.38527,0.12318,0.24074,0.01979,0.0188,1.273,0.752,150.6267769589494,28.487625506124974,40.484298622191695,27.166,17.142859,0.17123206,0.20233189,28.73214318260068,-0.012
HRUM,0.01589,0.17284,0.09636,0.16082,0.02991,0.014099999,2.5,1.236,0.0143211329268055,19.165081778375473,-0.048071073110353,33.279,37.757008,34.896095887499996,76.3275764,30.21944857650985,0.014
BIPI,-0.00723,0.23261999,0.19499001,0.38766,0.02547,0.00408,1.139,0.661,0.004684006001873,19.165081778375473,0.0031814359765961,120.811,75.90909,34.896095887499996,76.3275764,29.99560427550039,-0.453125
TBIG,0.18868,0.71693003,0.46311375624999995,0.69675374925,0.05982,0.118990004,0.158,0.113,38.30043006441171,29.317157248499363,133.21079017532892,134.96012499999998,29.909418,3.8915439,5.654778,31.29552253434329,-0.0
RATU,0.31559,0.49284,0.46311375624999995,0.52059,0.16562749999999998,0.37747999925,4.083,3.886,0.0123971348192068,19.165081778375473,0.0085106703962919,36.548,48.22737,34.896095887499996,76.3275764,30.212926793213235,-0.183
SGER,0.03075,0.067600004,0.10471,0.05377,0.05638,0.12696,2.081,0.28,13.62954165692895,26.975120090397144,-70.59308836307618,87.347,25.292479,3.220429,0.7783996,29.587794431375727,-0.453125
ARCI,0.21154,0.41777,0.44856,0.45380002,0.112270005,0.28336,0.533,0.165,0.0009282336437487,19.165081778375473,6.420733108777492e-05,118.6,26.64079,34.896095887499996,76.3275764,31.27136266520691,0.5878749999999999
